,status,totalResults,articles
10,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Iowa caucuses: Nine unusual things about the Democratic race', 'description': 'Democrats are deciding who they want to take on Trump - and it can be a noisy, chaotic process.', 'url': 'https://www.bbc.co.uk/news/world-us-canada-51299245', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/A817/production/_110713034_gettyimages-1071046388.jpg', 'publishedAt': '2020-01-31T00:02:20Z', 'content': ""Image copyrightGetty ImagesImage caption\r\n Iowa's democratic caucuses have been likened to a game of musical chairs\r\nOn Monday evening, tens of thousands of Democrats in Iowa will brave the cold and gather in schools, churches, gyms and libraries to decide on… [+10322 chars]""}"
11,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""Trump impeachment: Legal team says charges 'constitutionally invalid'"", 'description': ""The response to the trial summons gives the first glimpse of what will form the White House's defence."", 'url': 'https://www.bbc.co.uk/news/world-us-canada-51165024', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/3DD2/production/_110562851_4d2f60e7-677d-4d3b-9b02-6e7e4bcf18f5.jpg', 'publishedAt': '2020-01-19T00:00:47Z', 'content': 'Image copyrightAFPImage caption\r\n Opening statements in the impeachment trial against Mr Trump will begin next week\r\nUS President Donald Trump\'s legal team has given its first formal response to the impeachment case against him, describing the charges as a ""d… [+2237 chars]'}"
12,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Trump impeachment: Senators play games and nap during trial', 'description': 'Senators have been seen chewing gum, handing out fidget spinners and sleeping during the trial.', 'url': 'https://www.bbc.co.uk/news/world-us-canada-51231047', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/19A2/production/_110626560_mediaitem110626557.jpg', 'publishedAt': '2020-01-24T00:54:39Z', 'content': ""Media playback is unsupported on your device\r\nMedia captionLIVE: Trump's impeachment trial in Washington \r\nUS senators have been accused of falling asleep, playing games and breaking other rules during President Donald Trump's impeachment trial.\r\nJim Risch an… [+4341 chars]""}"
13,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Impeachment: Democrats undoing 2016 election, say Trump lawyers', 'description': 'Lawyers start their defence of the US president at the impeachment trial in the Senate.', 'url': 'https://www.bbc.co.uk/news/world-us-canada-51251395', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/1C60/production/_110646270_mediaitem110646269.jpg', 'publishedAt': '2020-01-25T18:19:50Z', 'content': ""Image copyrightGetty ImagesImage caption\r\n The White House Counsel said Democrats should not try to overturn the last election\r\nPresident Trump's lawyers have begun defending him at his impeachment trial, accusing Democrats of seeking to overturn the result o… [+3109 chars]""}"
14,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Tech expo chief defends invite for Ivanka Trump', 'description': 'Tech expo organiser says the US President\'s daughter has done ""great work"" on jobs-related issues.', 'url': 'https://www.bbc.co.uk/news/technology-50988743', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/7E66/production/_110385323_f4e2ef4d-b75d-44b6-b197-cc89ca9257f4.jpg', 'publishedAt': '2020-01-05T01:08:03Z', 'content': 'Image copyrightGetty Images\r\nThe man in charge of next week\'s giant CES tech expo has said that Ivanka Trump has done ""great work"" and will help it focus attendees\' minds on job-related issues for the future.\r\nA decision to offer the US President\'s daughter o… [+5941 chars]'}"
15,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Trump under fire for threat to Iranian cultural sites', 'description': 'The UN says both the US and Iran have signed conventions protecting cultural heritage.', 'url': 'https://www.bbc.co.uk/news/world-middle-east-51014237', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/169D7/production/_110413629_058956798-1.jpg', 'publishedAt': '2020-01-06T19:05:06Z', 'content': ""Image copyrightAFPImage caption\r\n Naqsh-e Jahan Square in the city of Isfahan, one of two dozen Unesco World Heritage sites in Iran\r\nUS President Donald Trump has faced growing criticism over his threats to attack Iran's cultural sites.\r\nMr Trump made the thr… [+3489 chars]""}"
16,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""Trump impeachment: Who's who in the Senate trial?"", 'description': ""Our guide to the key figures in President Donald Trump's impeachment trial."", 'url': 'https://www.bbc.co.uk/news/world-us-canada-51162251', 'urlToImage': 'https://ichef.bbci.co.uk/images/ic/1024x576/p07y92c6.jpg', 'publishedAt': '2020-01-18T21:32:01Z', 'content': 'Media captionHow did we get here?\r\nThe US House of Representatives has impeached President Donald Trump, and the Republican leader now faces a trial in the Senate.\r\nMembers of the upper house will decide whether to remove Mr Trump from office. As the Republic… [+8303 chars]'}"
17,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""Qasem Soleimani: Strike was to 'stop war', says Trump"", 'description': ""Iran's top military commander Qasem Soleimani was killed in a strike at Baghdad airport on Friday."", 'url': 'https://www.bbc.co.uk/news/world-middle-east-50989745', 'urlToImage': 'https://ichef.bbci.co.uk/images/ic/1024x576/p07zh39k.jpg', 'publishedAt': '2020-01-04T00:22:52Z', 'content': 'Media captionTrump - We took action to stop, not start a war\r\nPresident Donald Trump has said the US killed Iran\'s top military commander Qasem Soleimani ""to stop a war, not to start one"". \r\nHe said Soleimani\'s ""reign of terror is over"" after the strike at Ba… [+3140 chars]'}"
18,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Texas governor to reject new refugees under Trump order', 'description': 'Governor Greg Abbott says the state\'s resources should be focused on ""those who are already here"".', 'url': 'https://www.bbc.co.uk/news/world-us-canada-51072198', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/A60B/production/_110470524_gettyimages-545545770-594x594.jpg', 'publishedAt': '2020-01-11T02:38:10Z', 'content': 'Image copyrightGetty ImagesImage caption\r\n Greg Abbott said Texas had done ""more than its share"" for the refugee resettlement programme\r\nThe Republican governor of Texas, Greg Abbott, has said the state will not accept new refugees under the US government\'s r… [+2641 chars]'}"
19,ok,11874,"{'source': {'id': 'politico', 'name': 'Politico'}, 'author': None, 'title': 'Trump works to avoid evangelical defections in 2020 - POLITICO', 'description': ""Trump works to avoid evangelical defections in 2020 POLITICO Christianity Today Editor Laments ‘Ethical Naïveté’ of Trump Backers The New York Times Trump seeks to shore up evangelical support at 'prosperity gospel' church Reuters Miami evangelical Trump even…"", 'url': 'https://www.politico.com/news/2020/01/03/trump-evangelical-defection-093071', 'urlToImage': 'https://static.politico.com/d8/5f/d4b4077f481d8f0e83b8e7bd750e/200102-trump-gty-773.jpg', 'publishedAt': '2020-01-03T10:03:00Z', 'content': 'There are plenty of evangelical Americans who maybe didnt support President Trump in the last election because they didnt believe he was a true ally, but who are now taking a second look at him because of his record, said a Trump campaign adviser. \r\nIts a str… [+6047 chars]'}"
0,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Democrats call for Bolton to testify in impeachment trial', 'description': ""The ex-national security advisor's evidence could undermine Donald Trump's trial defence, reports say."", 'url': 'https://www.bbc.co.uk/news/world-us-canada-51260220', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/1308D/production/_110656977_mediaitem110656976.jpg', 'publishedAt': '2020-01-27T05:13:11Z', 'content': ""Image copyrightAFPImage caption\r\n Donald Trump has said that he does not want John Bolton to testify\r\nDemocrats have renewed their demand for US President Donald Trump's former National Security Advisor John Bolton to be called to testify in the president's i… [+2477 chars]""}"
1,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""Davos: Trump decries climate 'prophets of doom' at World Economic Forum"", 'description': 'The US leader attacks environmentalists at the World Economic Forum, which Greta Thunberg is attending.', 'url': 'https://www.bbc.co.uk/news/world-europe-51189430', 'urlToImage': 'https://ichef.bbci.co.uk/images/ic/1024x576/p080yzbg.jpg', 'publishedAt': '2020-01-21T12:12:33Z', 'content': 'Media caption""We must reject the perennial prophets of doom"" - Trump\r\nUS President Donald Trump has decried climate ""prophets of doom"" in a speech at the World Economic Forum in Davos, where sustainability is the main theme.\r\nHe called for a rejection of ""pre… [+1900 chars]'}"
